,ds,y
0,2018-10-01,16
1,2018-10-02,17
2,2018-10-03,13
3,2018-10-04,11
4,2018-10-05,15
5,2018-10-06,12
6,2018-10-07,14
7,2018-10-08,10
8,2018-10-09,12
9,2018-10-10,18
10,2018-10-11,18
11,2018-10-12,12
12,2018-10-13,14
13,2018-10-14,14
14,2018-10-15,15
15,2018-10-16,12
16,2018-10-17,11
17,2018-10-18,15
18,2018-10-19,21
19,2018-10-20,23
20,2018-10-21,12
21,2018-10-22,16
22,2018-10-23,16
23,2018-10-24,9
24,2018-10-25,5
25,2018-10-26,12
26,2018-10-27,21
27,2018-10-28,16
28,2018-10-29,18
29,2018-10-30,16
30,2018-10-31,10
31,2018-11-01,12
32,2018-11-02,15
33,2018-11-03,15
34,2018-11-04,11
35,2018-11-05,13
36,2018-11-06,20
37,2018-11-07,10
38,2018-11-08,8
39,2018-11-09,16
40,2018-11-10,19
41,2018-11-11,16
42,2018-11-12,16
43,2018-11-13,10
44,2018-11-14,15
45,2018-11-15,14
46,2018-11-16,14
47,2018-11-17,14
48,2018-11-18,21
49,2018-11-19,11
50,2018-11-20,13
51,2018-11-21,15
52,2018-11-22,17
53,2018-11-23,17
54,2018-11-24,31
55,2018-11-25,13
56,2018-11-26,15
57,2018-11-27,15
58,2018-11-28,17
59,2018-11-29,15
60,2018-11-30,16
61,2018-12-01,18
62,2018-12-02,7
63,2018-12-03,12
64,2018-12-04,14
65,2018-12-05,18
66,2018-12-06,12
67,2018-12-07,15
68,2018-12-08,21
69,2018-12-09,15
70,2018-12-10,17
71,2018-12-11,20
72,2018-12-12,8
73,2018-12-13,21
74,2018-12-14,22
75,2018-12-15,24
76,2018-12-16,17
77,2018-12-17,24
78,2018-12-18,12
79,2018-12-19,15
80,2018-12-20,13
81,2018-12-21,19
82,2018-12-22,19
83,2018-12-23,15
84,2018-12-24,10
85,2018-12-25,11
86,2018-12-26,15
87,2018-12-27,13
88,2018-12-28,8
89,2018-12-29,16
90,2018-12-30,20
91,2018-12-31,9
92,2019-01-01,16
93,2019-01-02,10
94,2019-01-03,12
95,2019-01-04,24
96,2019-01-05,14
97,2019-01-06,9
98,2019-01-07,18
99,2019-01-08,6
100,2019-01-09,14
101,2019-01-10,8
102,2019-01-11,13
103,2019-01-12,12
104,2019-01-13,18
105,2019-01-14,13
106,2019-01-15,11
107,2019-01-16,10
108,2019-01-17,15
109,2019-01-18,20
110,2019-01-19,14
111,2019-01-20,16
112,2019-01-21,18
113,2019-01-22,14
114,2019-01-23,12
115,2019-01-24,15
116,2019-01-25,16
117,2019-01-26,15
118,2019-01-27,18
119,2019-01-28,16
120,2019-01-29,9
121,2019-01-30,8
122,2019-01-31,17
123,2019-02-01,21
124,2019-02-02,18
125,2019-02-03,13
126,2019-02-04,23
127,2019-02-05,15
128,2019-02-06,12
129,2019-02-07,17
130,2019-02-08,17
131,2019-02-09,33
132,2019-02-10,17
133,2019-02-11,13
134,2019-02-12,11
135,2019-02-13,14
136,2019-02-14,16
137,2019-02-15,12
138,2019-02-16,22
139,2019-02-17,13
140,2019-02-18,13
141,2019-02-19,12
142,2019-02-20,9
143,2019-02-21,12
144,2019-02-22,13
145,2019-02-23,24
146,2019-02-24,17
147,2019-02-25,19
148,2019-02-26,11
149,2019-02-27,10
150,2019-02-28,15
151,2019-03-01,12
152,2019-03-02,8
153,2019-03-03,13
154,2019-03-04,9
155,2019-03-05,13
156,2019-03-06,11
157,2019-03-07,23
158,2019-03-08,18
159,2019-03-09,18
160,2019-03-10,18
161,2019-03-11,13
162,2019-03-12,10
163,2019-03-13,9
164,2019-03-14,8
165,2019-03-15,13
166,2019-03-16,13
167,2019-03-17,16
168,2019-03-18,5
169,2019-03-19,14
170,2019-03-20,12
171,2019-03-21,10
172,2019-03-22,10
173,2019-03-23,17
174,2019-03-24,9
175,2019-03-25,18
176,2019-03-26,7
177,2019-03-27,12
178,2019-03-28,6
179,2019-03-29,5
180,2019-03-30,13
181,2019-03-31,12
182,2019-04-01,14
183,2019-04-02,7
184,2019-04-03,9
185,2019-04-04,15
186,2019-04-05,13
187,2019-04-06,15
188,2019-04-07,10
189,2019-04-08,15
190,2019-04-09,10
191,2019-04-10,14
192,2019-04-11,13
193,2019-04-12,19
194,2019-04-13,25
195,2019-04-14,20
196,2019-04-15,12
197,2019-04-16,8
198,2019-04-17,16
199,2019-04-18,14
200,2019-04-19,16
201,2019-04-20,18
202,2019-04-21,22
203,2019-04-22,13
204,2019-04-23,16
205,2019-04-24,8
206,2019-04-25,13
207,2019-04-26,17
